PLAYER_MATCH,TIME,METHOD,PLACE,PLAY,PLAYER_MATCH_GOAL
503570,79,R,O,D,10915
503571,62,H,P,T,10916
503571,90,R,P,O,10917
503588,28,L,P,O,10918
503588,44,R,P,P,10919
503581,25,R,O,D,10920
503604,12,R,O,O,10921
503576,6,R,G,O,10922
503617,23,R,O,I,10923
503617,43,H,P,O,10924
503618,79,H,G,O,10925
503627,34,R,O,O,10926
503632,19,L,P,O,10927
503644,17,R,P,O,10928
503651,56,L,P,O,10929
503703,16,L,P,I,10930
503697,90,H,G,T,10931
503698,63,L,P,C,10932
503698,61,R,P,O,10933
503761,65,R,P,O,10934
503746,28,R,P,T,10935
503777,38,R,P,T,10936
503827,80,R,G,O,10937
503838,63,L,P,O,10938
503843,31,L,P,O,10939
503893,62,R,P,O,10940
503893,71,R,P,O,10941
503884,52,H,P,C,10942
503885,16,R,P,C,10943
503892,90,R,P,O,10944
503892,43,L,P,O,10945
503905,88,H,G,C,10946
503919,19,R,P,O,10947
503923,54,H,G,I,10948
503903,51,L,O,O,10949
503938,24,L,O,D,10950
503940,29,H,G,C,10951
503940,45,R,P,P,10952
503956,39,R,G,O,10953
503982,79,L,O,I,10954
503966,37,R,P,O,10955
503969,61,R,G,O,10956
504020,33,R,P,O,10957
504020,74,R,P,O,10958
504050,62,R,P,O,10959
504082,56,H,G,C,10960
504069,27,R,P,O,10961
504068,77,L,P,O,10962
504117,10,H,G,O,10963
504100,38,R,P,O,10964
504100,59,R,G,O,10965
504095,15,R,P,O,10966
504089,5,R,G,O,10967
504147,64,L,P,O,10968
504146,89,L,P,O,10969
504145,53,L,O,O,10970
504180,52,R,P,O,10971
504164,72,R,P,O,10972
504194,50,R,P,O,10973
504259,76,L,P,O,10974
504332,64,H,G,I,10975
504356,29,R,P,O,10976
504357,82,R,P,O,10977
504372,73,H,P,O,10978
504372,20,L,P,P,10979
504346,18,L,O,O,10980
504381,78,L,P,P,10981
504387,46,L,O,O,10982
504416,53,R,P,O,10983
504416,32,L,P,O,10984
504417,75,R,O,O,10985
504453,43,R,P,P,10986
504453,76,R,G,O,10987
504447,64,R,P,O,10988
504447,15,L,P,O,10989
504480,38,R,P,O,10990
504497,57,R,G,O,10991
504512,59,H,P,O,10992
504547,69,R,P,O,10993
504575,7,L,P,O,10994
504579,85,L,O,O,10995
504580,89,R,O,O,10996
504607,42,R,P,O,10997
504656,41,R,P,O,10998
504646,77,R,G,O,10999
504646,8,L,P,O,11000
504657,60,R,O,O,11001
504722,10,R,P,O,11002
504716,41,H,P,I,11003
504739,23,H,G,O,11004
504740,90,L,G,O,11005
504755,13,R,P,P,11006
504773,45,R,P,O,11007
504790,68,L,P,O,11008
504805,72,R,O,O,11009
504805,89,R,P,O,11010
504819,83,R,P,O,11011
504852,13,L,P,O,11012
504853,90,R,O,O,11013
504875,52,R,O,I,11014
504880,88,R,P,O,11015
504884,61,L,P,O,11016
504864,82,R,P,C,11017
504906,4,R,O,O,11018
504930,31,R,G,C,11019
504933,63,R,G,O,11020
504949,45,L,P,O,11021
504982,42,R,G,O,11022
504963,20,H,P,O,11023
505014,55,H,P,C,11024
504997,20,R,O,O,11025
505000,43,L,P,O,11026
505026,90,R,P,O,11027
505029,24,R,O,O,11028
505029,69,H,P,O,11029
505029,81,L,O,O,11030
505062,46,L,O,O,11031
505070,87,L,P,P,11032
505077,22,L,G,O,11033
505079,53,H,P,O,11034
505095,73,R,G,O,11035
505090,90,L,O,O,11036
505096,84,L,O,O,11037
505086,24,R,G,C,11038
505119,1,R,P,T,11039
505127,13,L,P,O,11040
505142,52,R,P,O,11041
505173,33,R,G,O,11042
505149,89,H,P,O,11043
505172,84,L,O,O,11044
505205,50,R,P,O,11045
505205,63,R,P,O,11046
505190,88,H,G,O,11047
505189,60,L,O,D,11048
505236,21,H,P,O,11049
505236,25,L,P,O,11050
505223,29,H,P,O,11051
505223,87,R,P,P,11052
505270,64,L,G,O,11053
505248,78,R,G,O,11054
505250,8,H,P,O,11055
505254,20,R,P,O,11056
505264,17,R,P,O,11057
505264,89,R,P,P,11058
505265,55,R,G,O,11059
505267,22,R,G,I,11060
505300,15,R,P,I,11061
505301,60,R,P,O,11062
505288,69,H,G,O,11063
505317,71,L,O,O,11064
505319,5,R,P,O,11065
505319,8,R,P,O,11066
505335,49,L,O,O,11067
505357,70,R,G,O,11068
505461,39,R,O,D,11069
505461,15,R,P,O,11070
505488,38,L,P,O,11071
505472,57,R,O,O,11072
505472,81,H,P,O,11073
505485,52,R,O,D,11074
505491,54,R,G,O,11075
505494,71,L,P,O,11076
505479,76,L,G,C,11077
505557,18,H,G,C,11078
505558,31,H,G,T,11079
505589,9,L,P,O,11080
505623,88,H,P,I,11081
505601,62,L,O,O,11082
505398,28,R,P,O,11083
505395,32,H,P,I,11084
505412,90,L,P,O,11085
505442,52,H,G,O,11086
505632,73,R,O,O,11087
505632,71,R,P,O,11088
505636,88,L,P,O,11089
505637,13,R,P,T,11090
505638,15,R,P,O,11091
505649,34,R,G,O,11092
505656,6,R,O,T,11093
505629,59,R,G,C,11094
505666,2,R,P,O,11095
505668,30,L,P,O,11096
505671,4,R,G,O,11097
505699,40,R,G,I,11098
505724,15,L,P,O,11099
505707,8,H,P,O,11100
505696,76,R,O,D,11101
505716,17,H,G,C,11102
505728,50,H,G,C,11103
505733,86,R,P,I,11104
505751,60,R,P,O,11105
505761,62,L,O,D,11106
505768,80,H,G,O,11107
505770,20,R,P,O,11108
505781,55,L,P,O,11109
505783,9,R,P,O,11110
505784,37,L,G,O,11111
505784,39,R,P,O,11112
505812,46,H,G,I,11113
505800,77,R,P,O,11114
505800,9,L,G,O,11115
505831,23,H,P,I,11116
505832,36,L,G,O,11117
505857,69,L,O,D,11118
505879,32,R,G,O,11119
505890,22,L,P,O,11120
505914,7,R,P,O,11121
505922,36,H,G,O,11122
505927,86,R,P,O,11123
505928,74,R,P,O,11124
505945,71,R,P,O,11125
505960,29,H,P,O,11126
505959,27,R,O,O,11127
506005,21,L,G,O,11128
506007,16,R,P,O,11129
506007,25,R,P,O,11130
506037,12,R,P,O,11131
506049,41,R,O,O,11132
506054,86,R,P,O,11133
506056,57,L,P,O,11134
506062,75,H,G,I,11135
506103,45,H,G,O,11136
506147,3,L,O,O,11137
506147,18,R,O,D,11138
506170,9,L,G,I,11139
506199,52,L,P,O,11140
506184,29,L,G,T,11141
506186,10,H,G,O,11142
506231,3,R,G,O,11143
506216,26,H,P,O,11144
506241,86,R,P,P,11145
506247,24,L,P,O,11146
506264,81,R,P,P,11147
506279,35,R,P,O,11148
506280,2,R,P,O,11149
506280,30,H,P,O,11150
506280,38,H,G,C,11151
506292,90,L,O,O,11152
506312,26,R,O,O,11153
506312,44,R,O,I,11154
506309,90,L,P,O,11155
506359,61,R,P,T,11156
506375,39,R,P,O,11157
506390,60,R,P,O,11158
506366,65,H,G,C,11159
506403,29,R,P,O,11160
506406,55,L,P,T,11161
506438,34,R,G,O,11162
506439,23,R,P,P,11163
506470,83,R,P,O,11164
506476,8,R,P,O,11165
506518,77,L,G,C,11166
506500,21,R,P,O,11167
506584,29,R,P,O,11168
506608,85,H,P,O,11169
506591,77,H,P,T,11170
506651,90,R,G,O,11171
506647,73,L,O,D,11172
506645,76,L,G,O,11173
506633,46,R,P,O,11174
506631,53,R,P,O,11175
506682,27,L,G,O,11176
506682,18,R,O,O,11177
506666,86,L,G,I,11178
506665,64,H,G,O,11179
506713,55,R,O,O,11180
506735,89,L,O,O,11181
506733,53,R,P,O,11182
506776,8,L,P,O,11183
506762,71,R,P,O,11184
506805,15,R,O,O,11185
506809,86,R,P,O,11186
506810,41,R,G,O,11187
506837,52,R,P,O,11188
506852,25,R,P,P,11189
506857,67,R,P,O,11190
506870,27,R,O,O,11191
506872,22,R,P,O,11192
506891,90,R,P,O,11193
506891,16,R,P,O,11194
506934,83,R,P,P,11195
506936,74,H,P,C,11196
506937,33,R,G,O,11197
506918,90,R,O,O,11198
506951,22,H,P,C,11199
506954,89,R,O,O,11200
506955,46,R,P,O,11201
506991,41,L,P,O,11202
507014,52,R,P,O,11203
507016,28,R,P,O,11204
507017,77,H,G,O,11205
507043,78,L,G,O,11206
507043,68,R,P,O,11207
